,0
713,0.125
714,0.141
715,0.147
716,0.127
717,0.127
718,0.129
719,0.147
720,0.143
721,0.146
722,0.125
723,0.132
724,0.14
725,0.13
726,0.133
727,0.133
728,0.136
729,0.128
730,0.122
731,0.133
732,0.135
733,0.146
734,0.116
735,0.149
736,0.133
737,0.127
738,0.14
739,0.138
740,0.131
741,0.134
742,0.127
743,0.138
744,0.147
745,0.13
746,0.113
747,0.141
748,0.128
749,0.126
750,0.146
751,0.118
752,0.135
753,0.119
754,0.119
755,0.131
756,0.128
757,0.138
758,0.122
759,0.137
760,0.14
761,0.13
762,0.126
763,0.121
764,0.134
765,0.13
766,0.12
767,0.122
768,0.146
769,0.113
770,0.159
771,0.126
772,0.123
773,0.12
774,0.125
775,0.141
776,0.112
777,0.128
778,0.135
779,0.142
780,0.134
781,0.129
782,0.134
783,0.12
784,0.127
785,0.131
786,0.118
787,0.135
788,0.135
789,0.133
790,0.137
791,0.126
792,0.135
793,0.143
794,0.124
795,0.115
796,0.156
797,0.122
798,0.14
799,0.127
800,0.131
801,0.141
802,0.142
803,0.128
804,0.131
805,0.125
806,0.123
807,0.146
808,0.125
809,0.14
810,0.127
811,0.129
812,0.13
813,0.135
814,0.142
815,0.119
816,0.131
817,0.125
818,0.138
819,0.139
820,0.129
821,0.119
822,0.138
823,0.127
824,0.133
825,0.144
826,0.136
827,0.156
828,0.14
829,0.128
830,0.127
831,0.136
832,0.136
833,0.128
834,0.126
835,0.134
836,0.125
837,0.123
838,0.144
839,0.132
840,0.129
841,0.149
842,0.121
843,0.124
844,0.142
845,0.133
846,0.124
847,0.12
848,0.121
849,0.119
850,0.124
851,0.118
852,0.121
853,0.143
854,0.137
855,0.128
856,0.142
857,0.113
858,0.139
859,0.149
860,0.134
861,0.139
862,0.125
863,0.139
864,0.145
865,0.147
866,0.12
867,0.15
868,0.139
869,0.142
870,0.142
871,0.132
872,0.14
873,0.124
874,0.127
875,0.132
876,0.151
877,0.143
878,0.116
879,0.122
880,0.143
881,0.14
882,0.141
883,0.124
884,0.135
885,0.129
886,0.147
887,0.131
888,0.149
889,0.14
890,0.146
891,0.115
892,0.126
893,0.134
894,0.142
895,0.127
896,0.146
897,0.135
898,0.142
899,0.102
900,0.132
901,0.142
902,0.141
903,0.144
904,0.127
905,0.133
906,0.129
907,0.131
908,0.146
909,0.122
910,0.135
911,0.145
912,0.156
913,0.134
914,0.13
915,0.149
916,0.124
917,0.138
918,0.125
919,0.127
920,0.138
921,0.14
922,0.112
923,0.126
924,0.131
925,0.134
926,0.122
927,0.129
928,0.112
929,0.128
930,0.158
931,0.145
932,0.129
933,0.133
934,0.158
935,0.142
936,0.151
937,0.119
938,0.137
939,0.136
940,0.126
941,0.137
942,0.121
943,0.136
944,0.128
945,0.136
946,0.147
947,0.158
948,0.168
949,0.131
950,0.143
951,0.148
952,0.134
953,0.12
954,0.143
955,0.124
956,0.181
957,0.116
958,0.142
959,0.126
960,0.138
961,0.135
962,0.116
963,0.112
964,0.141
965,0.131
966,0.144
967,0.146
968,0.144
969,0.127
970,0.134
971,0.113
972,0.136
973,0.141
974,0.146
975,0.155
976,0.121
977,0.139
978,0.153
979,0.145
980,0.129
981,0.123
982,0.138
983,0.119
984,0.129
985,0.144
986,0.134
987,0.13
988,0.12
989,0.127
990,0.135
991,0.137
992,0.134
993,0.142
994,0.148
995,0.13
996,0.143
997,0.126
998,0.147
999,0.132
